Timestamp,Chaos Orb,Divine Orb,Exalted Orb,Orb of Annulment,Perfect Chaos Orb,Perfect Exalted Orb
2025-10-19T11:58:26.315764,36,12,1109,3,0,0
2025-10-19T12:12:22.600962,36,12,1109,3,0,0
2025-10-19T12:32:18.119677,36,16,1862,3,0,0
2025-10-19T13:02:45.039219,36,16,129,3,0,0
2025-10-19T13:13:40.945076,36,10,129,3,0,0
2025-10-19T13:22:43.519825,36,20,1002,3,0,0
2025-10-19T18:19:17.146968,36,17,1096,3,0,0
2025-10-19T18:21:10.650020,155,17,1096,3,0,0
2025-10-19T19:05:57.637627,241,12,886,3,0,0
2025-10-19T19:20:13.191823,241,15,0,3,0,0
2025-10-19T19:28:38.392799,241,15,1086,3,0,0
2025-10-20T01:38:53.664287,241,14,881,3,0,0
2025-10-20T02:43:59.494636,241,12,2569,3,0,0
2025-10-20T02:58:42.002864,241,16,42,3,0,0
2025-10-20T18:17:01.869638,241,16,23,3,0,0
2025-10-20T22:23:19.621673,241,16,11,3,0,0
2025-10-20T23:12:16.716569,103,16,11,3,1,1
2025-10-20T23:56:56.942177,103,19,2810,3,1,1
2025-10-21T00:13:35.300416,103,19,210,3,1,1
2025-10-21T01:04:58.438083,103,17,1240,14,1,1
2025-10-21T01:40:35.397575,103,17,211,14,1,1
2025-10-21T01:57:00.706107,103,18,211,14,1,1
2025-10-21T17:37:10.354483,103,17,0,14,1,1
2025-10-21T20:45:57.823601,103,20,1912,14,1,1
2025-10-21T21:33:52.091229,103,8,1912,14,5,1
2025-10-21T21:50:46.928629,103,19,1912,14,0,1
2025-10-21T21:51:24.036524,103,27,1912,14,0,1
2025-10-22T01:18:51.275846,103,28,823,14,0,1
2025-10-22T01:26:21.271002,18,28,823,14,1,1
2025-10-22T20:10:43.825744,18,28,0,14,1,1
2025-10-22T20:16:11.559077,18,27,1210,14,1,1
2025-10-22T20:20:44.240363,80,25,1210,14,1,1
2025-10-22T20:22:08.958125,80,25,1243,14,1,1
2025-10-22T20:40:27.825041,80,27,1195,14,1,1
2025-10-22T20:40:41.143196,80,27,1842,14,1,1
2025-10-22T20:55:19.120764,80,17,1382,14,1,6
2025-10-22T20:58:44.520692,80,30,1382,14,1,1
2025-10-22T21:45:45.468053,80,29,1073,14,1,1
2025-10-22T21:46:16.714334,80,29,4033,14,1,1
2025-10-22T22:03:52.857927,80,29,5533,14,1,1
2025-10-22T22:15:48.704336,80,34,533,14,1,1
2025-10-22T22:25:09.151439,80,37,1293,14,1,1
2025-10-23T00:23:18.847165,80,37,986,14,1,1
2025-10-23T01:02:31.505523,80,37,23,14,1,1
2025-10-23T01:13:27.712942,80,36,970,25,1,1
2025-10-23T01:16:51.499519,80,36,82,25,1,1
2025-10-23T01:42:10.877486,80,35,141,25,1,1
2025-10-23T02:01:57.493792,80,35,35,25,1,1
2025-10-23T02:13:29.840043,80,36,145,30,1,1
2025-10-23T02:26:33.921710,80,37,297,30,1,2
